"id","year","album","song","danceability","energy","speechiness","acousticness","liveness","valence","duration_ms","vocals"
125,1968,"The Beatles (white album)","obi-la -di, ob-la-da",0.818,0.728,0.0314,0.232,0.251,0.975,0.369274448092483,1
108,1967,"Sgt. Pepper's Lonely Hearts Club Band","good morning good mornng",0.542,0.618,0.139,0.0858,0.772,0.93,0.306435276763804,0
168,1969,"Abbey Road","Oh! Darling",0.422,0.656,0.0397,0.0126,0.268,0.549,0.410694418953489,1
186,1970,"Let It Be","dig it ",0.54,0.489,0.117,0.659,0.457,0.67,0.0554683198401207,0
140,1968,"The Beatles (white album)","yer blues",0.327,0.525,0.0475,0.000875,0.133,0.435,0.485950518089515,0
141,1968,"The Beatles (white album)","mother natures son",0.608,0.178,0.0264,0.634,0.166,0.401,0.32184314338606,1
115,1967,"Magical Mystery Tour","your mother should know",0.698,0.293,0.0332,0.784,0.0936,0.724,0.277400511631806,1
173,1969,"Abbey Road","you never give me your money",0.335,0.416,0.0348,0.345,0.116,0.223,0.491660492190704,1
142,1968,"The Beatles (white album)","everybodys got something to hide even you",0.523,0.731,0.0559,0.0207,0.081,0.81,0.269152771263422,0
143,1968,"The Beatles (white album)","sexy sadie ",0.577,0.624,0.0285,0.33,0.117,0.671,0.383565244384626,0
118,1967,"Magical Mystery Tour","strawberry field forever",0.39,0.502,0.178,0.336,0.0713,0.289,0.501510197515255,0
183,1970,"Let It Be","dig a pony",0.538,0.478,0.0388,0.472,0.17,0.527,0.473594768576109,0
157,1969,"Yellow Submarine","all you need is love",0.4,0.463,0.0288,0.345,0.286,0.627,0.465013946385156,0
130,1968,"The Beatles (white album)","martha my dear",0.472,0.292,0.0321,0.872,0.128,0.824,0.277763049669977,1
124,1968,"The Beatles (white album)","glass onion",0.523,0.51,0.0514,0.0123,0.108,0.789,0.253443544896937,0
127,1968,"The Beatles (white album)","the continue story of bungalow bill",0.621,0.459,0.104,0.224,0.656,0.648,0.381056934333032,0
180,1969,"Abbey Road","the end ",0.647,0.487,0.0689,0.00101,0.138,0.222,0.261992645009551,1
122,1968,"The Beatles (white album)","back in the ussr",0.48,0.969,0.0854,0.069,0.0608,0.494,0.311479087219854,1
144,1968,"The Beatles (white album)","helter skelter",0.166,0.831,0.0894,0.000606,0.811,0.281,0.55241733566264,1
165,1969,"Abbey Road","come together",0.533,0.376,0.0393,0.0302,0.0926,0.187,0.530121246315141,0
120,1967,"Magical Mystery Tour","baby, youre a rich man",0.619,0.625,0.036,0.0119,0.152,0.467,0.35193380055423,0
98,1967,"Sgt. Pepper's Lonely Hearts Club Band","sgt.peppers lonely hearts club band",0.451,0.673,0.0734,0.0857,0.797,0.583,0.219575694543576,1
178,1969,"Abbey Road","golden slumbers",0.419,0.152,0.0277,0.326,0.113,0.239,0.149032589903769,1
134,1968,"The Beatles (white album)","rocky raccoon",0.599,0.363,0.0315,0.333,0.243,0.648,0.423988235640661,1
138,1968,"The Beatles (white album)","julia",0.512,0.0953,0.0304,0.828,0.117,0.193,0.341420197447279,0
170,1969,"Abbey Road","I want you(she's so heavy)",0.37,0.515,0.0321,0.0233,0.0966,0.42,1,0
102,1967,"Sgt. Pepper's Lonely Hearts Club Band","fixing a hole",0.469,0.507,0.0451,0.382,0.0783,0.619,0.296465480714109,1
176,1969,"Abbey Road","polythene pam",0.474,0.939,0.199,0.00472,0.19,0.499,0.105709294342367,0
147,1968,"The Beatles (white album)","honey pie",0.537,0.297,0.0822,0.88,0.145,0.553,0.30628346396032,1
132,1968,"The Beatles (white album)","blackbird",0.686,0.127,0.0342,0.754,0.0573,0.372,0.254682971814933,1
137,1968,"The Beatles (white album)","I will",0.631,0.387,0.0262,0.742,0.0822,0.832,0.181146662497479,1
146,1968,"The Beatles (white album)","revolution 1",0.386,0.626,0.0377,0.0785,0.621,0.695,0.520513988303617,0
